1 <home> 2
2 <end> 3
3 <rctrl> 4
4 <del> 22
5 <down> 42
6 <up> 57
7 <cpslk> 88
8 <altgr> 195
9 <rshft> 224
10 <left> 318
11 <lctrl> 432
12 <right> 735
13 <esc> 991
14 <tab> 1009
15 <enter> 1189
16 <lalt> 1208
17 <bcksp> 1211
18 <lshft> 2654
19 <space> 3293
